id,source,category,question,answer,modified
376,한국교통안전공단,자동차검사,기간 내 자동차검사를 받지 못할경우 과태료는 얼마가 부과되나요?,"자동차관리법 시행령 [별표 2]에서 과태료를 규정하고 있으며 해당지자체에서 부과하고 있습니다.
검사 지연기간이 30일 이내인 경우 4만원, 검사지연기간이 30일 초과 114일 이내인경우 4만원에 31일째부터 계산하여 3일 초과 시 마다 2만원을 더한금액, 검사 지연기간이 115일 이상인 경우 60만원이 부과됩니다.",2025-09-09
375,한국교통안전공단,자동차검사,자동차검사 유효기간은?,"정기검사의 유효기간은 「자동차관리법 시행규칙」 [별표 15의 2]에서 규정하고 있습니다.

1.비사업 승용자동차 및 피견인 자동차: 2년(신조차로서 법 제43조제5항에 따른 신규검사를 받은 것으로 보는 자동차의 최초 검사유효기간은 5년)
2.사업용 승용자동차: 1년(신조차로서 법 제43조제5항에 따른 신규검사를 받은 것으로 보는 자동차의 최초 검사유효기간은 2년)
3.경형,소형의 승합 및 화물자동차: 차령이 4년 이하인 경우 2년, 차령이 4년 초과된 경우 1년[사업용 경형, 소형 의 경우에는 1년(신조차로서 법 제43조 제5항에 따라 신규검사를 받은 것으로 보는 자동차의 최초 검사유효기간은 2년)]
4. 중형, 대형 의 승합자동차: 차령이 8년 이하인 경우에는 1년(비사업용 승합자동차 중 신조차로서 법 제43조제5항에 따라 신규검사를 받은 것으로 보는 자동차 중 길이 5.5미터 미만인 자동차의 최초 검사유효기간은 2년), 차령이 8년 초과인 경우에는 6개월
5. 비사업용 중형, 대형 화물자동차및 사업용 중형 자동차: 차령이 5년 이하인 경우 1년, 차령이 5년 초과된 경우 6월
6. 사업용 대형화물자동차: 차령이 2년이하인 경우 1년, 차령이 2년 초과인 경우 6개월
7. 특수자동차: 차령이 5년 이하인 경우 1년, 차령이 5년 초과인 경우 6개월

-10인 이하를 운송하기에 적합하게 제작된 자동차(법 제3조 제1항 제2호 가목 및 나목에 따른 자동차를 제외한다)로서 2000년 12월 31일 이전에 등록된 승합자동차의 경우에는 승용자동차의 검사유효기간을 적용합니다.",2025-09-09
378,한국교통안전공단,자동차검사,자동차검사를 완료했으나 과태료가 부과되었습니다.,검사기간 내 자동차검사를 완료하셨다면 과태료가 부과 대상이 아닙니다. 과태료는 지자체에서 부과하고 있으므로 관할관청으로 연락하시면 원활히 업무 진행이 가능합니다.,2025-09-09
370,한국교통안전공단,도로안전,교통안전 공익제보단으로 활동하고 싶습니다. 어떻게 신청하나요?,"공단은 교통안전 공익제보단을 상시 모집하고 있으며, 거주하고 계신 지역의 지역본부에서 신청 가능합니다. 자세한 사항은 한국교통안전공단 공지사항을 참고해 주시기 바랍니다.",2023-04-24
6,한국교통안전공단,자동차검사,자동차검사 기간이 지났는데 과태료 고지서가 왔어요.,"저희 공단은『자동차관리법』제44조제1항에 따라 지정된 자동차검사대행자로 자동차검사에 관련된 업무를 수행하고 있으며, 검사유효기간 및 과태료와 관련한 업무는 자동차가 등록된 관할 지자체에서 수행하고 있습니다. 따라서, 문의하신 내용은 해당 자동차가 등록된 관할 지자체로 문의 하시면 더욱 정확한 답변이 가능합니다.",2021-11-17
374,한국교통안전공단,자동차검사,자동차검사는 유효기간 만료일 당일만 가능한가요?,"「자동차관리법 시행규칙」 제77조제2항에서 정기검사의 기간은 검사유효기간만료일(제75조의 규정에 의하여 검사유효기간을 연장 또는 유예한 경우에는 그 만료일을 말한다) 전 90일부터 후 31일까지로 하며, 이 기간내에 정기검사에서 적합판정을 받은 경우에는 검사유효기간만료일에 정기검사를 받은 것으로 본다. 라고 규정하고 있습니다.",2025-09-10
381,한국교통안전공단,자동차검사,자동차검사 재검사기간 연장이 가능한가요?,자동차관리법 시행규칙 제75조에서 검사유효기간의 연장 사유는 규정을 하고 있으나 재검사기간 연장 사유에 대해서는 규정하고 있지 않습니다. 그러므로 재검사기간의 연장은 불가능하며 재검사기간이 초과될경우 자동차검사를 받지않은것으로 처리되어 자동차검사비용이 다시 발생하게되고 검사절차를 처음부터 진행하게 됩니다.,2025-09-09
106,한국교통안전공단,드론안전,초경량비행장치 조종자 4종 자격은 어떻게 취득하나요?,한국교통안전공단에서 운영하는 4종 온라인 교육을 이수한 후 교육이수증명서를 발급받아 비행하실 수 있습니다. 온라인 교육은 한국교통안전공단에서 운영하는 한국교통안전공단배움터(https://edu.kotsa.or.kr)에서 수강 가능 합니다.,2025-08-29
363,한국교통안전공단,자동차검사,자동차검사 예약은 어디서 하나요?,"PC, 모바일에서 사이버검사소(www.cyberts.kr)로 예약이 가능하며, 고객콜센터 1577-0990에서도 가능 합니다.",2024-05-28
239,한국교통안전공단,도로자격(화물·버스·택시·정밀),운전적성정밀검사의 대상은 어떻게 되나요?,"■ 신규검사 대상자
1. 신규로 여객운수 사업용자동차를 운전하고자 하는 자 또는 화물자동차 운수사업법 제8조제1항제3호에 의한 화물운송종사자격증을 취득하고자 하는 자.(단, 화물운송종사 자격시험에 응시하고자 하는 경우에는 최근 3년 이내에 신규검사를 받아야 함)
2. 사업용자동차의 운전업무에 종사하다가 퇴직한 자로서 신규검사를 받은 날로부터 3년이 경과된 후 재취업하고자 하는 자. 다만 재취업일 까지 무사고로 운전한 자를 제외
3. 신규검사의 적합판정을 받은 자로서 신규검사를 받은 날로부터 3년 이상 사업용자동차 운전업무에 취업하지 아니한 자. 다만, 취업일까지 무사고로 운전한 자는 제외
 *무사고 : 경찰서장이 발행하는 운전경력증명서에 등재된 교통사고가 없는 경우

■ 군 운전적성정밀검사 대상자
 · 군 운전병 지원자
 · 군 운전직에 종사하는 장병 및 군무원 또는 희망하는 자
 *군 운전적성정밀검사를 수검한 경우 신규검사를 수검한 것으로 인정

■ 특별검사 대상자
 1. 사업용 자동차의 운전자로 취업한 자 중 중상(버스·택시 3주, 화물 5주) 이상의 사상사고를 일으킨 자.
 2. 과거 1년간 도로교통법시행규칙에 의한 운전면허 행정처분 기준에 의하여 산출한 누산 점수가 81점 이상인 자.
 3. 사업용자동차의 운전자 중 질병·과로 기타의 사유로 안전운전을 할 수 없다고 인정되는 자인지의 여부를 알기 위하여 운송사업자가 신청한 자.

■ 자격유지검사 대상자
 · 사업용자동차 65세 이상 고령운전자
 1) 만 65세 이상 70세 미만인 사람 : 자격유지검사의 적합판정을 받고 3년이 지나지 아니한 사람은 제외한다. (3년마다 수검)
 2) 만 70세 이상인 사람 : 자격유지검사의 적합판정을 받고 1년이 지나지 아니한 사람은 제외 한다. (1년마다 수검)
 *시행일: 버스('16.1.1), 택시('19.2.13), 화물('20.1.1)

 *자격유지검사 대상 여부를 쉽게 판별하는 방법은 아래와 같습니다.
 1. 만 65세 이상 ~ 만 70세 미만자 :
  1) 3년 이내 수검 이력 없고, 영업용 차량 운전 중이면 : 만 65세가 되는 생일로부터 3개월 이내 수검을 하여야 합니다.
  2) 3년 이내 수검 이력 없고, 취업 예정이면 : 취업일로부터 3개월 이내 수검을 하여야 합니다.
  3) 3년 이내 수검 이력이 있다면 (운전 중 or 취업 예정 모두) : 이전 수검일 기준 3년이 도래하는 날로부터 3개월 이내 수검을 하여야 합니다.

 2. 만 70세 이상자 :
  1) 1년 이내 수검 이력 없고, 영업용 차량 운전 중이면 : 만 70세가 되는 생일로부터 3개월 이내 수검을 하여야 합니다.
  2) 1년 이내 수검 이력 없고, 취업 예정이면 : 취업일로부터 3개월 이내 수검을 하여야 합니다.
  3) 1년 이내 수검 이력이 있다면 : 이전 수검일 기준 1년이 도래하는 날로부터 3개월 이내 수검을 하여야 합니다.

■ 의료적성검사 대상자
 · 화물 또는 택시운송사업에 종사하면서 만 65세 이상인 운전자는 의료적성검사 수검 후 공단에 결과를 제출하여 자격유지검사를 대체 가능
  *의료적성검사 시행 병의원 목록 : 자료실 참고 (☞ 바로가기 클릭)
  *의료기관에서 의료적성검사를 실시 후, 공단에 방문 도는 우편으로 접수하여 판정을 받으셔야 검사가 완료됩니다.",2024-05-22
101,한국교통안전공단,드론안전,4종 온라인 교육은 어디서 들을 수 있나요?,4종 온라인 교육은 시흥드론교육센터에서 담당하는 교육이 아닙니다. 담당 부서(화성드론자격센터) 전화번호안내 해드리겠습니다. 번호는 031-645-2100입니다.,2025-09-08
5,한국교통안전공단,자동차검사,수수료 감면대상은 어떻게 되나요?,"저희 공단에서는 장애인, 국가유공자, 한부모가족, 기초생활수급자, 교통안전의인, 자동차사고피해가족, 다자녀가정에 대해서 수수료감면 혜택을 드리고 있습니다.",2021-11-17
243,한국교통안전공단,자동차검사,짐을 실은 상태에서 자동차검사가 가능한지?,"자동차검사는 「자동차관리법 시행규칙」 [별표15]에서 규정한 기준 및 방법에 따라 수행되고 있습니다.1.일반기준 및 방법 가목에서 “자동차의 검사항목 중 제원측정은 공차(空車)상태에서 시행하며 그 외의 항목은 공차상태에서 운전자 1명이 승차하여 시행한다. 다만, 긴급자동차 등 부득이한 사유가 있는 경우 또는 적재물의 중량이 차량중량의 20퍼센트 이내인 경우에는 적차(積車)상태에서 검사를 시행할 수 있다”라고 규정하고 있습니다.

또한 차량의 구조물로 인해 제원의허용차를 초과하는 경우 부적합 대상입니다.",2025-09-09
364,한국교통안전공단,자동차검사,자동차 검사시 보험가입 증명서가 필요한가요?,자동차검사 시 보험가입(책임보험)여부를 확인 하도록 하고 있습니다. 보험가입여부는 전산으로 실시간 확인이 가능하나 보험개발원등 관련기관의 전산문제로 전산확인이 되지 않을 경우에는 보험가입증명서를 확인(팩스 수신 가능) 하고있습니다.,2022-04-29
252,한국교통안전공단,도로자격(화물·버스·택시·정밀),종합판정표 및 수검사실증명서 재발급은 어디서 가능한가요?,"■ 현장 재발급
1. 발급장소 : 전국 19개 운전적성정밀검사장 및 한국교통안전공단 산하 59개 자동차검사소
2. 발급장소안내 : TS국가자격시험 홈페이지(https://lic.kotsa.or.kr) → 운전적성정밀검사 → 판정표/수검사실증명서 발급안내 → 종합판정표 재발급
3. 준비물 : 신분증, 수수료(1,000원)
4. 소요시간 : 즉시
5. 본인이 직접 신청하여야 하며, 대리 발급시 위임장(자료실에서 다운로드)과 본인 및 대리인 신분증을 지참하여 방문시 대리인에게 발급
■ 인터넷 재발급
1. TS국가자격시험 홈페이지(https://lic.kotsa.or.kr) → 운전적성정밀검사 → 판정표/수검사실증명서 발급안내 → 종합판정표 재발급 → 본인인증 후 재발급 ☞ 종합판정표 발급화면 바로가기 클릭☞ 수검사실증명서 발급화면 >바로가기 클릭
2. 인터넷 재발급이 불가능한 경우 현장 재발급",2025-09-09
100,한국교통안전공단,드론안전,자격증은 어떻게 발급받나요?,"공단 홈페이지 접속하셔서 자주찾는메뉴, 항공/초경량 자격시험 접속하신 후, TS국가자격시험 홈페이지에서 로그인 해주십시오. 그 후 자격증발급 메뉴를 통해 지도조종자로 등록된 분에 한해서 지도조종자가 표기된 자격증 재발급이 가능합니다.",2022-03-21
433,한국교통안전공단,자동차검사,자동차검사기간 연장(재검사기간X),"가. 「자동차관리법 시행규칙」 제75조에서 검사유효기간의 연장등에 대하여 규정하고 있습니다. 제1항제2호에서 자동차의 도난ㆍ사고발생ㆍ폐차ㆍ압류 또는 장기간의 정비 기타 부득이한 사유가 인정되는 경우에는 자동차소유자의 신청에 의하여 필요하다고 인정되는 기간동안 당해자동차의 검사유효기간을 연장하거나 그 검사를 유예할 것이라고 규정하고 있습니다.나. 과태료, 검사유효기간 연장 권한은 공단이 아닌 지자체에서 권한을 가지고 있으므로 연장여부에 대한 확답을 드릴수 없는 점 양해하여 주시고 자동차가 등록된 지자체(자동차등록사업소, 시ㆍ도청 등) 로 문의하시어 업무를 진행하시기 바랍니다라. 검사기간 내 검사를 수검하지 못한경우 미수검 기간에 따라 과태료가 부과되는 점 참고하여 주시기 바랍니다",2025-09-09
389,한국교통안전공단,도로자격(화물·버스·택시·정밀),화물운송자격증과 화물운송종사자격증명과 차이점이 무엇입니까?,"■ 화물운송종사 자격증은 자격시험에 합격 후 8시간의 합격자 교육을 수료한 사람에게 공단이 발급하는 국가자격증입니다.
 1. 화물운송종사 자격증명은 화물운송종사 자격증을 취득한 후 화물자동차를 운전하고자 해당 지역의 화물협회에 취업신고를 한 경우에 협회에서 발급하는 자격증명으로서, 화물자동차운수사업법 시행규칙 제18조의10제1항에 의해 화물자동차 안 앞면 오른쪽 위에 항상 게시하고 운행하여야 합니다.
 2. 기타 궁금하신 사항은 홈페이지나 고객콜센터(1577-0990)로 문의하시기 바랍니다.",2025-09-09
7,한국교통안전공단,자동차검사,해외출장으로 자동차검사를 받지 못할 것 같습니다. 자동차검사 연기는 어떻게 해야하죠?,"「자동차관리법」 제43조제4항에서 국토교통부장관은 자동차 소유자가 천재지변이나 그 밖의 부득이한 사유로 검사를 받을 수 없다고 인정될 때에는 국토교통부령으로 정하는 바에 따라 그 기간을 연장하거나 자동차검사를 유예할 수 있다고 정하고 있으며, 검사유효기간의 연장 또는 유예가 가능한 사유 및 절차 등은 같은 법 시행규칙 제75조에서 정하고 있습니다.

다만, 우리 공단은 「자동차관리법」 제44조제1항에 따라 지정된 자동차검사대행자로 자동차검사에 관련된 업무를 수행하고 있으며, 검사유효기간 관련한 업무는 자동차가 등록된 관할 지자체에서 수행하고 있습니다. 따라서 문의하신 내용은 해당 자동차가 등록된 관할 지자체로 문의하시면 더욱 정확한 답변이 가능합니다.",2021-11-17
435,한국교통안전공단,안전검사(기계식주차·삭도·궤도),관리인교육 접수는 어떻게 하나요?,"ㅇ 교육 일정
1. 오프라인 교육 : 기계식주차장관리시스템(www.kotsa.or.kr/mpis) 접속하여 확인
2. 온라인 교육 : 한국교통안전공단 배움터(http://edu.kotsa.or.kr) 접속 → 고객센터-공지사항 → 기계식주차장 관리인 온라인 교육 일정 확인

ㅇ 교육 시간 : 신규교육 4시간, 보수교육 : 3시간

ㅇ 교육 수강료 : 신규교육 35,000원. 보수교육 30,000원
※ 관리인 교육이 처음인 대상자는 기계식주차장치 관리인 신규교육 신청
  관리인 교육 수강 후 3년이 지난 교육생은 기계식주차장치 관리인 보수교육 신청
  (신규교육인지 보수교육인지 확인이 필요한 경우 054-440-3081로 전화문의)

ㅇ 교육 접수방법
1. 오프라인 교육(대면교육) 접수 방법
 - 교육 홈페이지 (www.kotsa.or.kr/mpis)접속 → 관리인교육 → 관리인교육 신청서 입력 → 교육구분, 지역 선택 후 검색 → 교육 날짜 확인 → 신청
2. 온라인 교육 접수방법
 - 첨부파일 참고",2025-09-12
354,한국교통안전공단,드론안전,"초경량비행장치 조종자 학과, 실기시험에 합격했습니다. 자격증은 어떻게 발급받을 수 있나요?","TS국가자격시험 홈페이지의 항공자격시험 분야에서 로그인 후 자격증 발급메뉴로 신청 가능합니다.(인터넷 발급 시 우편요금 추가 부과) 직접 방문하여 발급받고자 하는 경우에는 한국교통안전공단 화성드론자격센터(경기도 화성시 송산면 삼존로 200) 혹은 항공자격처(서울 마포구 구룡길 15, 공단 3층)로 신분증과 명함사진을 지참하고 방문하시면 됩니다. 단, 유효한 해당 신체검사증명서를 첨부하여야 합니다. 자격증 발급 수수료는 부가세 포함 11,000원입니다.
* 관련법규 : 항공안전법 시행규칙 별표47",2025-08-28
368,한국교통안전공단,자동차검사,자동차검사 재검사 기간 연장되나요?,"「자동차관리법」 제81조제1항에 따라 자동차 검사결과 부적합판정을 받은 자동차의 소유자는 재검사기간 내에 자동차를 검사한 자동차검사대행자 또는 지정정비사업자에게 검사부적합통지서 또는 자동차기능종합진단서와 자동차등록증 및 자동차를 제시하여야 합니다. 또한 정기 및 종합검사 부적합판정 자동차의 재검사기간은 검사기간 만료 후 10일 이내로 정하고 있으며 재검사기간 내에 재검사의 신청을 받은 경우, 부적합 항목에 대하여 다시 검사를 실시하도록 정하고 있습니다. 「자동차종합검사의 시행 등에 관한 규칙」 제7조 제4항에서 재검사기간에 대하여 부적합판정을 받은 자동차의 소유자가 재검사기간 내에 재검사를 신청하지 않은 경우 또는 재검사기간 내에 재검사를 신청하였으나 그 기간 내에 적합 판정을 받지 못한 경우에는 검사를 받지 않은 것으로 본다고 정하고 있습니다. 이에 따라 귀하께서 받으신 자동차검사 또한 재검사기간이 지나면 검사기간 경과로 인해 해당 검사를 받지 않은 것으로 처리됩니다.재검사 기간은 따로 연장되지 않습니다.",2022-04-29
4,한국교통안전공단,자동차검사,자동차검사 수수료 감면을 받지 못했는데 어떻게 하면되죠?,저희 공단의 수수료 환불규정은 자동차검사 완료 후 60일 이내 자동차검사 신청자의 요청에 의해 전산조회를 통해 감면 대상을 확인 후 수수료 차액을 환불해 드리고 있습니다.,2022-03-02
